KeyLastWriteTime,Path,Key
2018-01-25 11:14:28.271542,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Victim_2_Infected\Windows\System32\winevt\Logs,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0\3\0\0\0 @ 0x0
2018-02-24 10:07:53.693630,\{My Computer}\D:\\BoB\박상호멘토님\Users,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5 @ 0x0
2018-01-14 08:40:56.708300,\{My Computer}\D:\\BoB\박상호멘토님\Users\global_001,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\1 @ 0x0
2018-01-14 08:40:57.248302,\{My Computer}\D:\\BoB\박상호멘토님\Users\global_001\AppData,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\1\0 @ 0x0
2018-01-14 08:40:57.865816,\{My Computer}\D:\\BoB\박상호멘토님\Users\global_001\AppData\Local,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\1\0\0 @ 0x0
2018-01-14 08:40:58.435865,\{My Computer}\D:\\BoB\박상호멘토님\Users\global_001\AppData\Local\Microsoft,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\1\0\0\0 @ 0x0
2018-01-14 08:40:59.003128,\{My Computer}\D:\\BoB\박상호멘토님\Users\global_001\AppData\Local\Microsoft\Windows,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\1\0\0\0\0 @ 0x0
2018-01-14 08:54:48.564957,\{My Computer}\D:\\BoB\박상호멘토님\Users\global_001\AppData\Local\Microsoft\Windows\WebCache,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\1\0\0\0\0\0 @ 0x0
2018-01-14 08:54:48.564957,\{My Computer}\D:\\BoB\박상호멘토님\Users\global_001\AppData\Local\Microsoft\Windows\Temporary Internet Files,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\1\0\0\0\0\0 @ 0x0
2018-01-14 08:54:49.449566,\{My Computer}\D:\\BoB\박상호멘토님\Users\global_001\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\1\0\0\0\0\0\1 @ 0x0
